"PEASCTM1.Code.or.Value","PEASCTM1.Value.Description","PEASCTM1.Count","PEASCTM1.Cumulative","PEASCTM1.Skip.to.Item"
"0 to 1933","Range of Values",9337,9337,NA
".","Missing",306,9643,NA
