"MCQ170k.Code.or.Value","MCQ170k.Value.Description","MCQ170k.Count","MCQ170k.Cumulative","MCQ170k.Skip.to.Item"
"1","Yes",136,136,NA
"2","No",154,290,NA
"7","Refused",0,290,NA
"9","Don't know",7,297,NA
".","Missing",9067,9364,NA
