"OPDSPHVH.Code.or.Value","OPDSPHVH.Value.Description","OPDSPHVH.Count","OPDSPHVH.Cumulative","OPDSPHVH.Skip.to.Item"
"0","None",2425,2425,NA
"1","Questionable",1,2426,NA
"2","< 1 Disc Area",0,2426,NA
"3",">= 1 Disc Area",1,2427,NA
".","Missing",507,2934,NA
