"URDATZLC.Code.or.Value","URDATZLC.Value.Description","URDATZLC.Count","URDATZLC.Cumulative","URDATZLC.Skip.to.Item"
"0","detectable result",13,13,NA
"1","below detectable limit",2959,2972,NA
".","Missing",180,3152,NA
