"LBX101LA.Code.or.Value","LBX101LA.Value.Description","LBX101LA.Count","LBX101LA.Cumulative","LBX101LA.Skip.to.Item"
"2.8 to 192","Range of Values",1929,1929,NA
".","Missing",345,2274,NA
