"RHQ586U.Code.or.Value","RHQ586U.Value.Description","RHQ586U.Count","RHQ586U.Cumulative","RHQ586U.Skip.to.Item"
"1","Months",14,14,NA
"2","Years",27,41,NA
"7","Refused",0,41,NA
"9","Don't know",0,41,NA
".","Missing",3704,3745,NA
