"LBCOXY.Code.or.Value","LBCOXY.Value.Description","LBCOXY.Count","LBCOXY.Cumulative","LBCOXY.Skip.to.Item"
"3.536 to 335.1","Range of Values",284,284,NA
".","Missing",0,284,NA
