"RFXC053.Code.or.Value","RFXC053.Value.Description","RFXC053.Count","RFXC053.Cumulative","RFXC053.Skip.to.Item"
"-6.818 to 4.134","Range of Values",51065,51065,NA
".","Missing",11,51076,NA
