"URDTTCLC.Code.or.Value","URDTTCLC.Value.Description","URDTTCLC.Count","URDTTCLC.Cumulative","URDTTCLC.Skip.to.Item"
"0","At or above the detection limit",895,895,NA
"1","Below lower detection limit",1345,2240,NA
".","Missing",109,2349,NA
