"TYXP202.Code.or.Value","TYXP202.Value.Description","TYXP202.Count","TYXP202.Cumulative","TYXP202.Skip.to.Item"
"-294 to -14","Range of Values",688,688,NA
".","Missing",7781,8469,NA
