"RFXT159.Code.or.Value","RFXT159.Value.Description","RFXT159.Count","RFXT159.Cumulative","RFXT159.Skip.to.Item"
"1388 to 1397","Range of Values",51051,51051,NA
".","Missing",25,51076,NA
