"URXVOL1.Code.or.Value","URXVOL1.Value.Description","URXVOL1.Count","URXVOL1.Cumulative","URXVOL1.Skip.to.Item"
"0 to 552","Range of Values",8057,8057,NA
".","Missing",234,8291,NA
