"HIQ270.Code.or.Value","HIQ270.Value.Description","HIQ270.Count","HIQ270.Cumulative","HIQ270.Skip.to.Item"
"1","Yes",8147,8147,NA
"2","No",383,8530,NA
"7","Refused",3,8533,NA
"9","Don't know",117,8650,NA
".","Missing",1321,9971,NA
