"DS1TCOPP.Code.or.Value","DS1TCOPP.Value.Description","DS1TCOPP.Count","DS1TCOPP.Cumulative","DS1TCOPP.Skip.to.Item"
"0 to 12","Range of Values",1365,1365,NA
".","Missing",8397,9762,NA
