"FFQ0080A.Code.or.Value","FFQ0080A.Value.Description","FFQ0080A.Count","FFQ0080A.Cumulative","FFQ0080A.Skip.to.Item"
1,"Almost never or never",1571,1571,NA
2,"About 1/4 of the time",734,2305,NA
3,"About 1/2 of the time",904,3209,NA
4,"About 3/4 of the time",553,3762,NA
5,"Almost always or always",1290,5052,NA
88,"Blank",1419,6471,NA
99,"Error",1,6472,NA
