"DR2TM201.Code.or.Value","DR2TM201.Value.Description","DR2TM201.Count","DR2TM201.Cumulative","DR2TM201.Skip.to.Item"
"0 to 4.124","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
