"VIQ051A.Code.or.Value","VIQ051A.Value.Description","VIQ051A.Count","VIQ051A.Cumulative","VIQ051A.Skip.to.Item"
"1","No difficulty",3834,3834,NA
"2","A little difficulty",696,4530,NA
"3","Moderate difficulty",239,4769,NA
"4","Extreme difficulty",103,4872,NA
"5","Unable to do because of eyesight",53,4925,NA
"6","Does not do this for other reasons",53,4978,NA
"77","Refused",0,4978,NA
"99","Don't know",0,4978,NA
".","Missing",2289,7267,NA
