"SIAPROXY.Code.or.Value","SIAPROXY.Value.Description","SIAPROXY.Count","SIAPROXY.Cumulative","SIAPROXY.Skip.to.Item"
"1","Yes",3689,3689,NA
"2","No",6281,9970,NA
".","Missing",1,9971,NA
