"WBXA013.Code.or.Value","WBXA013.Value.Description","WBXA013.Count","WBXA013.Cumulative","WBXA013.Skip.to.Item"
"-15.1064 to 0.9982","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
