"SSKLOTH.Code.or.Value","SSKLOTH.Value.Description","SSKLOTH.Count","SSKLOTH.Cumulative","SSKLOTH.Skip.to.Item"
"206.3 to 3456","Range of Values",2457,2457,NA
".","Missing",2,2459,NA
