"CVDVOMAX.Code.or.Value","CVDVOMAX.Value.Description","CVDVOMAX.Count","CVDVOMAX.Cumulative","CVDVOMAX.Skip.to.Item"
"0.4 to 75.06","Range of Values",3220,3220,NA
".","Missing",1382,4602,NA
