"INQ090.Code.or.Value","INQ090.Value.Description","INQ090.Count","INQ090.Cumulative","INQ090.Skip.to.Item"
"1","Yes",757,757,NA
"2","No",8914,9671,NA
"7","Refused",24,9695,NA
"9","Don't know",12,9707,NA
".","Missing",49,9756,NA
