"URDTIME2.Code.or.Value","URDTIME2.Value.Description","URDTIME2.Count","URDTIME2.Cumulative","URDTIME2.Skip.to.Item"
"1 to 228","Range of Values",1392,1392,NA
".","Missing",6429,7821,NA
