"ENXTR3Q.Code.or.Value","ENXTR3Q.Value.Description","ENXTR3Q.Count","ENXTR3Q.Cumulative","ENXTR3Q.Skip.to.Item"
"5 to 153","Range of Values",1495,1495,NA
".","Missing",6700,8195,NA
