"DSQ128NN.Code.or.Value","DSQ128NN.Value.Description","DSQ128NN.Count","DSQ128NN.Cumulative","DSQ128NN.Skip.to.Item"
"48","TO BUILD MUSCLE",147,147,NA
".","Missing",8970,9117,NA
