"LBC146LA.Code.or.Value","LBC146LA.Value.Description","LBC146LA.Count","LBC146LA.Cumulative","LBC146LA.Skip.to.Item"
"0.15 to 39.58","Range of Values",247,247,NA
".","Missing",0,247,NA
