"BIXS018K.Code.or.Value","BIXS018K.Value.Description","BIXS018K.Count","BIXS018K.Cumulative","BIXS018K.Skip.to.Item"
"236.63 to 1044.31","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
