"MCQ260CC.Code.or.Value","MCQ260CC.Value.Description","MCQ260CC.Count","MCQ260CC.Cumulative","MCQ260CC.Skip.to.Item"
"3","Mother's mother",69,69,"MCQ250E"
".","Missing",10401,10470,""
