"SIAINTRP.Code.or.Value","SIAINTRP.Value.Description","SIAINTRP.Count","SIAINTRP.Cumulative","SIAINTRP.Skip.to.Item"
"1","Yes",168,168,NA
"2","No",9954,10122,NA
".","Missing",0,10122,NA
