"DR2TLYCO.Code.or.Value","DR2TLYCO.Value.Description","DR2TLYCO.Count","DR2TLYCO.Cumulative","DR2TLYCO.Skip.to.Item"
"0 to 142385","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
