"MCQ147.Code.or.Value","MCQ147.Value.Description","MCQ147.Count","MCQ147.Cumulative","MCQ147.Skip.to.Item"
"1","Yes",33,33,""
"2","No",336,369,"MCQ150G"
"7","Refused",0,369,"MCQ150G"
"9","Don't know",2,371,"MCQ150G"
".","Missing",9122,9493,""
