"AUDTYR80.Code.or.Value","AUDTYR80.Value.Description","AUDTYR80.Count","AUDTYR80.Cumulative","AUDTYR80.Skip.to.Item"
"0 to 0.5","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
