"DR1TPOTA.Code.or.Value","DR1TPOTA.Value.Description","DR1TPOTA.Count","DR1TPOTA.Cumulative","DR1TPOTA.Skip.to.Item"
"0 to 10385","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
