"DR1ICAFF.Code.or.Value","DR1ICAFF.Value.Description","DR1ICAFF.Count","DR1ICAFF.Cumulative","DR1ICAFF.Skip.to.Item"
"0 to 2304","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
