"DSQIVK.Code.or.Value","DSQIVK.Value.Description","DSQIVK.Count","DSQIVK.Cumulative","DSQIVK.Skip.to.Item"
"3.3 to 550","Range of Values",1235,1235,NA
".","Missing",8324,9559,NA
