"LBCBR4LA.Code.or.Value","LBCBR4LA.Value.Description","LBCBR4LA.Count","LBCBR4LA.Cumulative","LBCBR4LA.Skip.to.Item"
"0.2 to 5.1","Range of Values",264,264,NA
".","Missing",0,264,NA
