"URDUSBLC.Code.or.Value","URDUSBLC.Value.Description","URDUSBLC.Count","URDUSBLC.Cumulative","URDUSBLC.Skip.to.Item"
"0","At or above the detection limit",2116,2116,NA
"1","Below lower detection limit",731,2847,NA
".","Missing",94,2941,NA
