"URXOXS.Code.or.Value","URXOXS.Value.Description","URXOXS.Count","URXOXS.Cumulative","URXOXS.Skip.to.Item"
"0.0424 to 0.0424","Range of Values",2634,2634,NA
".","Missing",122,2756,NA
