"ORXH55.Code.or.Value","ORXH55.Value.Description","ORXH55.Count","ORXH55.Cumulative","ORXH55.Skip.to.Item"
"1","Positive",50,50,NA
"2","Negative",4797,4847,NA
"3","Not evaluated",455,5302,NA
".","Missing",0,5302,NA
