"BPQ090C.Code.or.Value","BPQ090C.Value.Description","BPQ090C.Count","BPQ090C.Cumulative","BPQ090C.Skip.to.Item"
"1","Yes",849,849,NA
"2","No",479,1328,NA
"7","Refused",0,1328,NA
"9","Don't know",8,1336,NA
".","Missing",5298,6634,NA
