"LBDBCRSI.Code.or.Value","LBDBCRSI.Value.Description","LBDBCRSI.Count","LBDBCRSI.Cumulative","LBDBCRSI.Skip.to.Item"
"5.58 to 120","Range of Values",3442,3442,NA
".","Missing",168,3610,NA
