"DR1TM181.Code.or.Value","DR1TM181.Value.Description","DR1TM181.Count","DR1TM181.Cumulative","DR1TM181.Skip.to.Item"
"0 to 184.586","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
