"DXXAPFAT.Code.or.Value","DXXAPFAT.Value.Description","DXXAPFAT.Count","DXXAPFAT.Cumulative","DXXAPFAT.Skip.to.Item"
"6.6 to 58.9","Range of Values",5589,5589,NA
".","Missing",1304,6893,NA
