"RFXT156.Code.or.Value","RFXT156.Value.Description","RFXT156.Count","RFXT156.Cumulative","RFXT156.Skip.to.Item"
"1362 to 1371","Range of Values",51051,51051,NA
".","Missing",25,51076,NA
