"TYXP208.Code.or.Value","TYXP208.Value.Description","TYXP208.Count","TYXP208.Cumulative","TYXP208.Skip.to.Item"
"-296 to 97","Range of Values",297,297,NA
".","Missing",5288,5585,NA
