"SSDPHPL.Code.or.Value","SSDPHPL.Value.Description","SSDPHPL.Count","SSDPHPL.Cumulative","SSDPHPL.Skip.to.Item"
"0","At or above the detection limit",2116,2116,NA
"1","Below lower detection limit",196,2312,NA
".","Missing",5,2317,NA
