"LBCF08LA.Code.or.Value","LBCF08LA.Value.Description","LBCF08LA.Count","LBCF08LA.Cumulative","LBCF08LA.Skip.to.Item"
"2.71 to 27.7","Range of Values",246,246,NA
".","Missing",1,247,NA
