"LBXP2.Code.or.Value","LBXP2.Value.Description","LBXP2.Count","LBXP2.Cumulative","LBXP2.Skip.to.Item"
"0.05 to 5.27","Range of Values",1299,1299,NA
"0.04","Below Limit of Detection",22,1321,NA
".","Missing",186,1507,NA
