"SMD100LN.Code.or.Value","SMD100LN.Value.Description","SMD100LN.Count","SMD100LN.Cumulative","SMD100LN.Skip.to.Item"
"1","Regular (68-72 mm)",67,67,NA
"2","King (79-88 mm)",538,605,NA
"3","Long (94-101 mm)",388,993,NA
"4","Ultra long (110-121 mm)",11,1004,NA
".","Missing",5997,7001,NA
