"OHD23LAS.Code.or.Value","OHD23LAS.Value.Description","OHD23LAS.Count","OHD23LAS.Cumulative","OHD23LAS.Skip.to.Item"
"0 to 9","Range of Values",1619,1619,NA
"99","Calculation cannot be determined",202,1821,NA
".","Missing",4937,6758,NA
