"PEASCST1.Code.or.Value","PEASCST1.Value.Description","PEASCST1.Count","PEASCST1.Cumulative","PEASCST1.Skip.to.Item"
"1","Complete",9357,9357,NA
"2","Partial",27,9384,NA
"3","Not done",378,9762,NA
".","Missing",0,9762,NA
