"OHD31LAM.Code.or.Value","OHD31LAM.Value.Description","OHD31LAM.Count","OHD31LAM.Cumulative","OHD31LAM.Skip.to.Item"
"0 to 6","Range of Values",2282,2282,NA
"99","Calculation cannot be determined",532,2814,NA
".","Missing",4316,7130,NA
