"CVDEXCL1.Code.or.Value","CVDEXCL1.Value.Description","CVDEXCL1.Count","CVDEXCL1.Cumulative","CVDEXCL1.Skip.to.Item"
"1","Yes",320,320,NA
"2","No",634,954,NA
".","Missing",4198,5152,NA
