"LBXVOX.Code.or.Value","LBXVOX.Value.Description","LBXVOX.Count","LBXVOX.Cumulative","LBXVOX.Skip.to.Item"
"0.017 to 3.1","Range of Values",2835,2835,NA
".","Missing",580,3415,NA
