"BMXWT.Code.or.Value","BMXWT.Value.Description","BMXWT.Count","BMXWT.Cumulative","BMXWT.Skip.to.Item"
"3.1 to 222.6","Range of Values",9723,9723,NA
".","Missing",90,9813,NA
