"URD2DCLC.Code.or.Value","URD2DCLC.Value.Description","URD2DCLC.Count","URD2DCLC.Cumulative","URD2DCLC.Skip.to.Item"
"0","At or above the detection limit",6,6,NA
"1","Below lower detection limit",2234,2240,NA
".","Missing",109,2349,NA
