"DR1TVARA.Code.or.Value","DR1TVARA.Value.Description","DR1TVARA.Count","DR1TVARA.Cumulative","DR1TVARA.Skip.to.Item"
"0 to 10597","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
