"MGXH1T2.Code.or.Value","MGXH1T2.Value.Description","MGXH1T2.Count","MGXH1T2.Cumulative","MGXH1T2.Skip.to.Item"
"5 to 77.6","Range of Values",7789,7789,NA
".","Missing",502,8291,NA
