"DXXPEBMD.Code.or.Value","DXXPEBMD.Value.Description","DXXPEBMD.Count","DXXPEBMD.Cumulative","DXXPEBMD.Skip.to.Item"
"0.49 to 2.127","Range of Values",4946,4946,NA
".","Missing",834,5780,NA
