"LBDGLTSI.Code.or.Value","LBDGLTSI.Value.Description","LBDGLTSI.Count","LBDGLTSI.Cumulative","LBDGLTSI.Skip.to.Item"
"1.721 to 27.2","Range of Values",2319,2319,NA
".","Missing",1033,3352,NA
