"URXCPM.Code.or.Value","URXCPM.Value.Description","URXCPM.Count","URXCPM.Cumulative","URXCPM.Skip.to.Item"
"0.28 to 180","Range of Values",1994,1994,NA
".","Missing",131,2125,NA
