"MCQ150G.Code.or.Value","MCQ150G.Value.Description","MCQ150G.Count","MCQ150G.Cumulative","MCQ150G.Skip.to.Item"
"1","Enter number",3210,3210,""
"2","Did not go to school",218,3428,"MCQ160A"
"7","Refused",0,3428,"MCQ160A"
"9","Don't know",3,3431,"MCQ160A"
".","Missing",6391,9822,""
