"DRD350D.Code.or.Value","DRD350D.Value.Description","DRD350D.Count","DRD350D.Cumulative","DRD350D.Skip.to.Item"
"1","Yes",256,256,""
"2","No",3503,3759,"DRD350E"
".","Missing",6003,9762,""
