"DSD090.Code.or.Value","DSD090.Value.Description","DSD090.Count","DSD090.Cumulative","DSD090.Skip.to.Item"
"0 to 23360","Range of Values",8355,8355,NA
"7777777","Refused",2,8357,NA
"9999999","Don't know",19,8376,NA
".","Missing",24,8400,NA
